kepid,radius,mass,cdpp6,koi_count
9775823,0.48,0.49,2120.32,0
9775833,0.175,0.15,1053.589,0
9776848,0.183,0.16,749.816,0
9774141,0.5539999999999999,0.58,176.396,0
9776935,0.39,0.41,166.545,0
9776964,0.516,0.54,698.865,0
9776973,0.20199999999999999,0.18,3249.639,0
9777975,0.419,0.43,605.732,0
9777990,0.175,0.16,1012.949,0
9778001,0.59,0.63,1286.65,0
9785648,0.575,0.58,156.158,0
9771663,0.537,0.56,253.043,0
9774285,0.5539999999999999,0.58,242.908,0
9776008,0.11599999999999999,0.09,2019.368,0
9776037,0.16699999999999998,0.14,2244.56,0
9765888,0.522,0.55,302.941,0
9777117,0.527,0.54,843.676,0
9786877,0.35,0.36,256.762,0
9758864,0.39,0.41,194.485,0
9760292,0.44,0.46,144.36,0
9762986,0.479,0.51,435.486,0
9776128,0.516,0.53,867.1510000000001,0
9776188,0.474,0.49,1425.904,0
9778278,0.449,0.46,959.3580000000001,0
9776222,0.254,0.25,1141.87,0
9788210,0.363,0.38,128.327,0
9788227,0.45,0.47,97.675,0
9772531,0.45,0.46,230.395,0
9777261,0.11599999999999999,0.09,1406.2020000000002,0
9777266,0.132,0.12,410.19,0
9788905,0.19699999999999998,0.17,1104.312,0
9790574,0.542,0.56,58.817,0
9760670,0.57,0.6,612.472,0
9775253,0.484,0.5,478.685,0
9775267,0.46,0.47,403.999,0
9775301,0.491,0.52,507.336,0
9777334,0.47700000000000004,0.5,1294.72,0
9777360,0.523,0.53,1140.528,0
9777379,0.162,0.14,1068.391,0
9778515,0.33,0.35,460.47900000000004,0
9778542,0.475,0.48,597.9490000000001,0
9790889,0.49,0.5,184.417,0
9791400,0.35,0.35,178.31799999999998,0
9763771,0.43,0.46,540.215,0
9763786,0.26,0.24,262.149,0
9772725,0.48,0.49,100.96600000000001,0
9776446,0.423,0.43,448.841,0
9812023,0.5489999999999999,0.55,232.24900000000002,0
9772829,0.21,0.19,191.63,0
9776485,0.19699999999999998,0.17,2202.855,0
9777504,0.44299999999999995,0.45,878.584,0
9761113,0.28,0.27,717.076,0
9764341,0.522,0.54,199.894,0
9767253,0.5489999999999999,0.55,210.692,0
9776498,0.243,0.23,569.746,0
9776571,0.425,0.45,1501.0339999999999,0
9784820,0.155,0.13,643.768,0
9761199,0.49,0.51,286.55,0
9767459,0.29600000000000004,0.32,481.505,0
9775564,0.363,0.39,557.244,0
9775634,0.46799999999999997,0.49,1694.68,0
9761347,0.602,0.6,474.87,0
9775684,0.385,0.4,916.9789999999999,0
9776682,0.478,0.49,1914.975,0
9777711,0.473,0.49,1313.54,0
9787239,0.5,0.52,238.0,5.0
9775786,0.59,0.59,272.422,0
10262494,0.446,0.47,242.25099999999998,0
10265780,0.46,0.47,271.462,0
10296031,0.602,0.6,171.465,0
10320281,0.591,0.6,1487.219,0
10213932,0.48,0.49,158.877,0
10223447,0.25,0.25,231.551,0
10228045,0.55,0.58,145.262,0
10257096,0.35,0.35,382.841,0
10200908,0.3,0.32,273.013,0
10220322,0.55,0.57,102.322,0
10266175,0.293,0.28,191.935,0
10296831,0.3,0.29,191.653,0
10200932,0.49,0.5,288.342,0
10263037,0.43,0.44,155.254,0
10297357,0.218,0.21,82.01299999999999,0
10214481,0.539,0.56,206.951,0
10228889,0.11599999999999999,0.09,469.876,0
10263431,0.172,0.15,923.38,0
10273058,0.244,0.22,188.83700000000002,0
10257737,0.44,0.46,403.477,0
10273194,0.35,0.35,261.91,0
10285569,0.172,0.15,208.352,0
10317549,0.55,0.57,419.664,0
10214956,0.5539999999999999,0.55,138.187,0
10224595,0.201,0.18,114.64,0
10224611,0.547,0.55,51.974,0
10253829,0.537,0.56,324.80400000000003,0
10253901,0.34,0.34,315.529,0
10266895,0.38,0.4,187.75,0
10267155,0.11599999999999999,0.1,337.175,0
10285642,0.38,0.4,296.133,0
10317996,0.47,0.48,274.244,0
10215254,0.49,0.5,198.172,0
10224804,0.39,0.41,230.041,0
10254222,0.5820000000000001,0.59,586.335,0
10258126,0.26,0.24,184.738,0
10267364,0.47,0.5,553.646,0
10267392,0.537,0.56,242.671,0
10318209,0.11599999999999999,0.09,478.152,0
10318229,0.49700000000000005,0.51,306.215,0
10208587,0.336,0.34,221.63299999999998,0
10254439,0.445,0.47,396.452,0
10258179,0.122,0.1,60.269,0
10267577,0.47,0.48,160.863,0
10267590,0.506,0.51,186.97799999999998,0
10293445,0.28,0.27,360.647,0
10318386,0.22,0.2,878.309,0
10209036,0.28,0.27,219.94099999999997,0
10258346,0.39299999999999996,0.41,142.158,0
10289442,0.479,0.49,239.24900000000002,0
10255180,0.536,0.56,158.231,0
10274090,0.24,0.22,168.764,0
10289679,0.41,0.43,189.007,0
10203345,0.47600000000000003,0.5,251.66,0
10203442,0.55,0.58,185.09799999999998,0
10259017,0.54,0.56,244.15900000000002,0
10268893,0.39899999999999997,0.42,180.263,0
10268903,0.418,0.43,1412.0870000000002,0
10289776,0.518,0.52,68.374,0
10294074,0.41,0.43,179.054,0
10219019,0.38,0.4,236.364,0
10226428,0.606,0.61,1183.623,0
10255689,0.597,0.6,299.719,0
10255692,0.414,0.44,111.13,0
10269170,0.473,0.48,508.142,0
10294465,0.155,0.13,118.126,0
